location;new_cases_smoothed;new_deaths_smoothed;reproduction_rate;positive_rate;people_fully_vaccinated_per_hundred;stringency_index
Singapore;13.714;0.0;1.13;;4.98;50.93
Singapore;13.0;0.0;1.14;;5.08;50.93
Singapore;13.0;0.0;1.15;;5.26;50.93
Singapore;13.286;0.0;1.16;;5.43;50.93
Singapore;14.143;0.0;1.18;;5.62;50.93
Singapore;14.429;0.0;1.2;;5.83;50.93
Singapore;14.0;0.0;1.22;;6.09;50.93
Singapore;14.857;0.0;1.26;;6.24;50.93
Singapore;14.857;0.0;1.28;;6.33;50.93
Singapore;16.143;0.0;1.32;;6.56;50.93
Singapore;18.0;0.0;1.34;;6.84;50.93
Singapore;20.714;0.0;1.34;;7.17;50.93
Singapore;22.0;0.0;1.31;;7.51;50.93
Singapore;26.429;0.0;1.28;;7.8;50.93
Singapore;25.714;0.0;1.21;;8.19;50.93
Singapore;25.429;0.0;1.16;;8.48;50.93
Singapore;24.857;0.0;1.15;;8.93;50.93
Singapore;24.571;0.0;1.16;;9.38;50.93
Singapore;24.714;0.0;1.16;;9.88;50.93
Singapore;24.0;0.0;1.13;;10.39;50.93
Singapore;21.571;0.0;1.11;;11.03;50.93
Singapore;23.571;0.0;1.1;;11.6;50.93
Singapore;25.0;0.0;1.08;;12.06;50.93
Singapore;26.143;0.0;1.07;;12.57;50.93
Singapore;24.714;0.0;1.06;;13.0;50.93
Singapore;23.571;0.0;1.06;;13.37;50.93
Singapore;22.857;0.0;1.06;;13.74;50.93
Singapore;24.0;0.0;1.08;;14.17;50.93
Singapore;25.0;0.0;1.08;;14.56;50.93
Singapore;25.429;0.0;1.06;;14.84;50.93
Singapore;24.714;0.0;1.04;;15.38;50.93
Singapore;24.714;0.0;1.03;;15.82;50.93
Singapore;23.0;0.0;1.04;;16.18;50.93
Singapore;24.143;0.0;1.07;;16.53;50.93
Singapore;24.857;0.0;1.1;;16.92;50.93
Singapore;22.571;0.0;1.11;;17.36;50.93
Singapore;25.0;0.0;1.12;;17.69;50.93
Singapore;28.571;0.0;1.11;;18.17;50.93
Singapore;28.286;0.0;1.07;;18.62;50.93
Singapore;29.429;0.0;1.05;;19.01;50.93
Singapore;31.0;4.286;1.04;;19.37;50.93
Singapore;28.857;4.286;1.02;;19.78;50.93
Singapore;30.429;4.286;1.02;;20.03;50.93
Singapore;30.286;4.429;1.0;;20.33;50.93
Singapore;26.286;4.429;0.96;;20.54;50.93
Singapore;27.0;4.429;0.95;;20.76;52.78
Singapore;26.0;4.429;0.94;;21.02;52.78
Singapore;23.571;0.143;0.94;;21.26;52.78
Singapore;23.714;0.143;0.96;;21.57;52.78
Singapore;21.714;0.143;0.99;;21.86;52.78
Singapore;20.143;0.0;1.02;;22.11;52.78
Singapore;20.429;0.0;1.05;;22.42;52.78
Singapore;21.571;0.0;1.09;;22.8;52.78
Singapore;21.571;0.0;1.12;;23.15;52.78
Singapore;23.857;0.0;1.17;;23.16;52.78
Singapore;27.714;0.0;1.21;;23.86;52.78
Singapore;29.286;0.0;1.2;;24.33;52.78
Singapore;32.286;0.0;1.2;;24.75;52.78
Singapore;33.571;0.0;1.17;;25.16;52.78
Singapore;35.429;0.0;1.15;;25.55;52.78
Singapore;38.571;0.0;1.12;;25.94;58.33
Singapore;39.571;0.143;1.09;;26.36;58.33
Singapore;37.857;0.143;1.06;;26.86;58.33
Singapore;37.571;0.143;1.02;;27.41;58.33
Singapore;34.143;0.143;0.99;;27.86;58.33
Singapore;35.286;0.143;0.98;;28.23;58.33
Singapore;34.143;0.143;0.96;;28.6;58.33
Singapore;32.429;0.143;0.93;;28.86;58.33
